#
# Relative radiance of NIST D_2 lamp 7 @ 300mA
# ( calibrated with Ar mini arc @ 45 A below 330 nm 
# and Tungsten strip lamp above 330 nm   12/98)
# valid range : 200 - 350 nm
#
# wavelength / nm     radiance / W cm^-3 sr^-1
267.94375343     11471.33376163
268.95827409     11329.42077018
269.97279475     11188.53432213
270.98731541     11048.70413176
272.00183607     10909.95843699
273.01635674     10772.32403129
274.0308774      10635.82629528
275.04539806     10500.48922784
276.05991872     10366.33547695
277.07443938     10233.38637007
278.08896004     10101.66194425
279.1034807      9971.18097576
280.11800137     9841.96100947
281.13252203     9714.01838777
282.14704269     9587.36827917
283.16156335     9462.02470658
284.17608401     9338.00057514
285.19060467     9215.30769977
286.20512533     9093.95683235
287.219646       8973.95768853
288.23416666     8855.3189742
289.24868732     8738.04841164
290.26320798     8622.15276527
291.27772864     8507.63786706
292.2922493      8394.50864172
293.30676996     8282.76913136
294.32129063     8172.42251992
295.33581129     8063.47115732
296.35033195     7955.91658311
297.36485261     7849.75954998
298.37937327     7745.00004676
299.39389393     7641.63732124
300.40841459     7539.66990258
301.42293526     7439.09562342
302.43745592     7339.91164166
303.45197658     7242.11446196
304.46649724     7145.69995682
305.4810179      7050.66338749
306.49553856     6956.99942446
307.51005922     6864.70216764
308.52457989     6773.76516631
309.53910055     6684.18143868
310.55362121     6595.94349114
311.56814187     6509.04333732
312.58266253     6423.47251672
313.59718319     6339.22211306
314.61170385     6256.28277243
315.62622452     6174.64472101
316.64074518     6094.2977826
317.65526584     6015.2313958
318.6697865      5937.43463091
319.68430716     5860.89620656
320.69882782     5785.60450607
321.71334848     5711.54759343
322.72786915     5638.71322913
323.74238981     5567.08888563
324.75691047     5496.66176254
325.77143113     5427.41880158
326.78595179     5359.34670124
327.80047245     5292.43193114
328.81499311     5226.66074617
329.82951378     5162.01920031
330.84403444     5098.49316025
331.8585551      5036.06831864
332.87307576     4974.73020723
333.88759642     4914.46420957
334.90211708     4855.25557361
335.91663774     4797.08942395
336.93115841     4739.95077387
337.94567907     4683.8245371
338.96019973     4628.69553932
339.97472039     4574.54852946
340.98924105     4521.36819071
342.00376171     4469.1391513
343.01828237     4417.84599503
344.03280304     4367.47327156
345.0473237      4318.00550652
346.06184436     4269.42721125
347.07636502     4221.72289243
348.09088568     4174.87706146
349.10540634     4128.87424349
350.119927       4083.69898644
351.13444767     4039.33586954
352.14896833     3995.76951186
353.16348899     3952.9845805
