waveumber,lower_key,upper_key,probability
30293.5700,2|3H4)2H,a3P4p_y4D3*,0.0860
31305.5800,2|3G4)4G,a3P4p_y4D3*,0.2046
31403.4100,2|3G4)4G,a3P4p_y4D3*,0.0349
31506.5300,2|3G4)4G,a3P4p_y4D3*,0.0128
32069.5700,1|4F3),a3P4p_y4D3*,0.0293
32070.2100,1|4F3),a3P4p_y4D3*,6.7988
32087.8400,1|4F3),a3P4p_y4D3*,0.7147
32321.1200,1|2F3),a3P4p_y4D3*,0.0090
32568.8400,1|2F3),a3P4p_y4D3*,0.0290
33573.6200,1|2D5),a3P4p_y4D3*,0.9067
33705.1700,2|3F4)4F,a3P4p_y4D3*,34.6323
33755.9400,2|3F4)4F,a3P4p_y4D3*,2.5937
33807.1300,2|3F4)4F,a3P4p_y4D3*,0.0182
34060.0600,2|3P4)4P,a3P4p_y4D3*,153.3874
34705.7100,2|3H4)4H,a3P4p_y4D3*,0.0791
34767.7300,2|3H4)4H,a3P4p_y4D3*,0.0168
39877.7600,1|4D5),a3P4p_y4D3*,0.5214
39890.8200,1|4D5),a3P4p_y4D3*,0.9893
43102.0000,1|4P3),a3P4p_y4D3*,49.0336
44405.1900,1|4G5),a3P4p_y4D3*,0.0211
44406.6900,1|4G5),a3P4p_y4D3*,0.0006
44412.4600,1|4G5),a3P4p_y4D3*,0.0001
44900.5100,2|5D4)4D,a3P4p_y4D3*,0.7687
45126.6400,2|5D4)4D,a3P4p_y4D3*,0.4734
52428.0800,2|5D4)6D,a3P4p_y4D3*,0.0044
52620.6600,2|5D4)6D,a3P4p_y4D3*,0.0018
52776.7000,2|5D4)6D,a3P4p_y4D3*,0.0022
64924.5200,1|6S5),a3P4p_y4D3*,0.0091
1778.6000,1|2P3),a3F4p_z4G2*,0.0000
5578.9000,2|3F2)2F,a3F4p_z4G2*,0.0000
5586.4600,2|3F2)2F,a3F4p_z4G2*,0.0000
10133.4600,2|3P2)4P,a3F4p_z4G2*,0.0000
10268.5900,2|3F2)4F,a3F4p_z4G2*,0.0001
10273.0200,2|3F2)4F,a3F4p_z4G2*,0.0041
10287.9400,2|3F2)4F,a3F4p_z4G2*,0.0346
11590.2800,3|4F3)4F,a3F4p_z4G2*,0.0001
11885.4700,3|4F3)4F,a3F4p_z4G2*,0.0021
12105.2100,3|4F3)4F,a3F4p_z4G2*,0.0210
12858.7500,1|2G3),a3F4p_z4G2*,0.0001
14468.9400,2|1F4)2F,a3F4p_z4G2*,0.0014
14489.3200,2|1F4)2F,a3F4p_z4G2*,0.0000
17784.0300,1|2D3),a3F4p_z4G2*,0.0026
17802.1200,1|2D3),a3F4p_z4G2*,0.0000
19425.9800,2|1D4)2D,a3F4p_z4G2*,0.0004
19487.1900,2|1D4)2D,a3F4p_z4G2*,0.0017
22169.9400,2|3D4)2D,a3F4p_z4G2*,0.0024
22258.5700,2|3D4)2D,a3F4p_z4G2*,0.0016
25279.4900,1|2F5),a3F4p_z4G2*,0.0037
25414.4700,1|2F5),a3F4p_z4G2*,0.0065
25472.8100,1|2F5),a3F4p_z4G2*,0.0001
26647.6300,2|3G4)2G,a3F4p_z4G2*,0.0465
26794.1300,2|3D4)4D,a3F4p_z4G2*,0.0018
26841.7000,2|3D4)4D,a3F4p_z4G2*,0.0008
26886.9700,2|3D4)4D,a3F4p_z4G2*,0.0000
29054.9800,1|2G5),a3F4p_z4G2*,0.0656
29549.0600,2|3F4)2F,a3F4p_z4G2*,0.0500
29587.3600,2|3F4)2F,a3F4p_z4G2*,0.2055
29800.6700,2|3P4)2P,a3F4p_z4G2*,0.0004
31635.4500,2|3G4)4G,a3F4p_z4G2*,3.0006
31738.5700,2|3G4)4G,a3F4p_z4G2*,22.0781
32301.6100,1|4F3),a3F4p_z4G2*,4.4617
32311.8000,1|4F3),a3F4p_z4G2*,9.9945
32319.8800,1|4F3),a3F4p_z4G2*,0.4852
32553.1600,1|2F3),a3F4p_z4G2*,0.8060
32800.8800,1|2F3),a3F4p_z4G2*,0.0033
33625.3200,1|2D5),a3F4p_z4G2*,7.0340
33805.6600,1|2D5),a3F4p_z4G2*,2.1373
33987.9800,2|3F4)4F,a3F4p_z4G2*,2.1454
34039.1700,2|3F4)4F,a3F4p_z4G2*,28.2524
34073.6200,2|3F4)4F,a3F4p_z4G2*,109.6665
34292.1000,2|3P4)4P,a3F4p_z4G2*,0.0023
34849.1200,2|3P4)4P,a3F4p_z4G2*,0.0061
34999.7700,2|3H4)4H,a3F4p_z4G2*,17.4036
40109.8000,1|4D5),a3F4p_z4G2*,0.0000
40113.7500,1|4D5),a3F4p_z4G2*,0.0011
40122.8600,1|4D5),a3F4p_z4G2*,0.0002
43332.4500,1|4P3),a3F4p_z4G2*,0.0014
43334.0400,1|4P3),a3F4p_z4G2*,0.0011
44638.7300,1|4G5),a3F4p_z4G2*,1.8437
44644.5000,1|4G5),a3F4p_z4G2*,3.7745
45132.5500,2|5D4)4D,a3F4p_z4G2*,0.0010
45358.6800,2|5D4)4D,a3F4p_z4G2*,0.0220
45525.3900,2|5D4)4D,a3F4p_z4G2*,0.0576
2567.9300,2|1G2)2G,a3F4p_z4G3*,0.0000
5679.2200,2|3F2)2F,a3F4p_z4G3*,0.0015
5686.7800,2|3F2)2F,a3F4p_z4G3*,0.0000
10233.7800,2|3P2)4P,a3F4p_z4G3*,0.0000
10368.9100,2|3F2)4F,a3F4p_z4G3*,0.0030
10373.3400,2|3F2)4F,a3F4p_z4G3*,0.0324
10389.2700,2|3F2)4F,a3F4p_z4G3*,0.0001
11690.6000,3|4F3)4F,a3F4p_z4G3*,0.0011
11985.7900,3|4F3)4F,a3F4p_z4G3*,0.0146
12935.8700,1|2G3),a3F4p_z4G3*,0.0001
12959.0700,1|2G3),a3F4p_z4G3*,0.0114
14569.2600,2|1F4)2F,a3F4p_z4G3*,0.0004
14589.6400,2|1F4)2F,a3F4p_z4G3*,0.0001
17902.4400,1|2D3),a3F4p_z4G3*,0.0003
19526.3000,2|1D4)2D,a3F4p_z4G3*,0.0000
22358.8900,2|3D4)2D,a3F4p_z4G3*,0.0030
25379.8100,1|2F5),a3F4p_z4G3*,0.0350
25432.5000,2|1G4)2G,a3F4p_z4G3*,0.0202
25514.7900,1|2F5),a3F4p_z4G3*,0.0045
25573.1300,1|2F5),a3F4p_z4G3*,0.0406
26693.8700,2|3G4)2G,a3F4p_z4G3*,0.0422
26747.9500,2|3G4)2G,a3F4p_z4G3*,0.8474
26942.0200,2|3D4)4D,a3F4p_z4G3*,0.0100
26987.2900,2|3D4)4D,a3F4p_z4G3*,0.0017
28984.3400,1|2G5),a3F4p_z4G3*,0.1545
29155.3000,1|2G5),a3F4p_z4G3*,1.0319
29646.5300,1|2H3),a3F4p_z4G3*,4.2622
29649.3800,2|3F4)2F,a3F4p_z4G3*,0.0011
29687.6800,2|3F4)2F,a3F4p_z4G3*,10.8191
30625.9300,2|3H4)2H,a3F4p_z4G3*,11.1183
31637.9400,2|3G4)4G,a3F4p_z4G3*,1.6276
31735.7700,2|3G4)4G,a3F4p_z4G3*,16.1717
31838.8900,2|3G4)4G,a3F4p_z4G3*,2.4658
32401.9300,1|4F3),a3F4p_z4G3*,3.2918
32402.5700,1|4F3),a3F4p_z4G3*,0.3587
32420.2000,1|4F3),a3F4p_z4G3*,5.2504
32653.4800,1|2F3),a3F4p_z4G3*,5.4171
32901.2000,1|2F3),a3F4p_z4G3*,0.3349
33905.9800,1|2D5),a3F4p_z4G3*,2.0359
34037.5300,2|3F4)4F,a3F4p_z4G3*,1.4750
34088.3000,2|3F4)4F,a3F4p_z4G3*,28.7965
34139.4900,2|3F4)4F,a3F4p_z4G3*,85.7715
34392.4200,2|3P4)4P,a3F4p_z4G3*,0.1579
35038.0700,2|3H4)4H,a3F4p_z4G3*,19.9356
35100.0900,2|3H4)4H,a3F4p_z4G3*,0.2748
40210.1200,1|4D5),a3F4p_z4G3*,0.0041
40223.1800,1|4D5),a3F4p_z4G3*,0.0002
43434.3600,1|4P3),a3F4p_z4G3*,0.0008
44737.5500,1|4G5),a3F4p_z4G3*,2.8476
44739.0500,1|4G5),a3F4p_z4G3*,2.8738
44744.8200,1|4G5),a3F4p_z4G3*,1.4978
45232.8700,2|5D4)4D,a3F4p_z4G3*,0.0235
45459.0000,2|5D4)4D,a3F4p_z4G3*,0.1568
52953.0200,2|5D4)6D,a3F4p_z4G3*,0.0001
53109.0600,2|5D4)6D,a3F4p_z4G3*,0.0001
2682.2800,2|1G2)2G,a3F4p_z4G4*,0.0000
2695.0000,2|1G2)2G,a3F4p_z4G4*,0.0000
5813.8500,2|3F2)2F,a3F4p_z4G4*,0.0029
10495.9800,2|3F2)4F,a3F4p_z4G4*,0.0291
10516.3400,2|3F2)4F,a3F4p_z4G4*,0.0011
11460.9400,3|4F3)4F,a3F4p_z4G4*,0.0002
11817.6700,3|4F3)4F,a3F4p_z4G4*,0.0102
13062.9400,1|2G3),a3F4p_z4G4*,0.0182
13086.1400,1|2G3),a3F4p_z4G4*,0.0000
