31404.5659   35607.51   67012.07      3F4s__b2F3 -     a3F4p_y4F2       230
31405.327    77935.20  109340.53     3D4p__x2D2  -              -        46
31423.3947   20519.27   51942.66      d5____a4G4 -     5D4p__z4F4       170
31430.5671   20512.10   51942.66      d5____a4G5 -     5D4p__z4F4      2100
31434.67     69348.14  100782.82     a3P4p__2D1  -      a3P5s_e2P0       18
31442.885    35569.18   67012.07      3F4s__b2F2 -     a3F4p_y4F2        18
31449.53     42986.60   74436.11      3D4s__b2D1 -     a1G4p_x2F2         8
31498.307    77270.22  108768.52     1I4p__w2H4  -              -        23
31501.255    35569.18   67070.44      3F4s__b2F2 -     a3F4p_y4F1         9
31515.9340   35355.90   66871.83      3P4s__a2P1 -     a3P4p_z2P0       150
31538.768    69954.05  101492.82     a3P4p__2D2  -      a3P5s_e2P1       42
31544.6204   38563.00   70107.62      3G4s__b2G4 -     a3F4p_y2G4        50
31552.698    59570.15   91122.84      3F4s__e2F3 -     b3F4p_w4G3        14
31564.309    70584.39  102148.71     3G4p__y2F2  -      a3F5s_f2F2       20
31597.190    34659.24   66256.44      3P4s__a2P0 -     a3P4p_y4P0        23
31612.095    32836.65   64448.75      d5____b4F3 -     a3P4p_y4D2        20
31627.272    77713.27  109340.53     a1S4p_x2P1  -              -        15
31635.398    33521.09   65156.49      3G4s__b4G3 -     a3F4p_z4G2        13
31645.394    20024.01   51669.41      5D4s__a4D3 -     5D4p__z4F2        50
31656.1794   35355.90   67012.07      3P4s__a2P1 -     a3F4p_y4F2        56
31680.544    72716.72  104397.23     3G4p__x2G4  -              -         7
31695.513    34659.24   66354.76      3P4s__a2P0 -     a3P4p_y4P1        12
31714.5441   35355.90   67070.44      3P4s__a2P1 -     a3F4p_y4F1       280
31733.288    72648.52  104381.81     3G4p__x2G3  -              -        31
31734.622    68305.55  100040.17     a3P4p_z4S1  -      a3P5s_f4P1       14
31735.7620   33521.09   65256.85      3G4s__b4G3 -     a3F4p_z4G3        94
31736.50     35607.51   67344.01      3F4s__b2F3 -     3H4p__y4G2         8
31738.5082   33417.98   65156.49      3G4s__b4G2 -     a3F4p_z4G2        92
31764.8032   20024.01   51788.81      5D4s__a4D3 -     5D4p__z4F3      1000
31764.9693   33618.94   65383.90      3G4s__b4G4 -     a3F4p_z4G4        93
31779.584    35607.51   67387.09      3F4s__b2F3 -     a3F4p_z2D2        34
31786.2416   19797.86   51584.10      5D4s__a4D2 -     5D4p__z4F1        88
31798.618    35707.47   67506.09      d5____b2H5 -     3H4p__z2I5        12
31807.01     72716.72  104523.73     3G4p__x2G4  -              -         8
31807.899    38508.92   70316.82      3G4s__b2G3 -     3G4p__x4G2        16
31810.109    35569.18   67379.29      3F4s__b2F2 -     a3F4p_z2D1        30
31819.61     42897.96   74717.56      3D4s__b2D2 -     3D4p__x4P1         8
